,image,array,num_label
0,51ec2329-7f56-4cec-ae5e-a40b7f79268a,"[[0.00277297 0.00404226 0.00499904 ... 0.0168673  0.01663781 0.01663781]
 [0.00490196 0.00438445 0.00527957 ... 0.03062843 0.03050265 0.03050265]
 [0.00309173 0.00422195 0.00373901 ... 0.01960784 0.01941077 0.01941077]
 ...
 [0.00903877 0.01031574 0.01150053 ... 0.04095411 0.0512999  0.05684584]
 [0.00990282 0.00951509 0.00872387 ... 0.03534854 0.03843587 0.0388463 ]
 [0.00435689 0.00413521 0.00338429 ... 0.01376046 0.00930082 0.00627757]]",0
1,fa064993-f459-457a-bdfb-69a2832e15da,"[[6.20054443e-03 2.94117647e-03 2.22270275e-02 ... 2.29362479e-02
  1.91818927e-02 9.05607405e-03]
 [5.96349268e-03 5.27957334e-03 2.28664780e-02 ... 2.43684528e-02
  2.01997278e-02 1.04626172e-02]
 [4.99903874e-03 5.88235294e-03 2.37125228e-02 ... 2.48643438e-02
  1.90066928e-02 9.10568522e-03]
 ...
 [1.96261557e-17 1.96261557e-17 1.96261557e-17 ... 8.32850778e-03
  8.50853593e-03 8.31890331e-03]
 [1.96261557e-17 1.96261557e-17 1.96261557e-17 ... 6.94394187e-03
  6.33420964e-03 5.54593554e-03]
 [1.96261557e-17 1.96261557e-17 1.96261557e-17 ... 2.80164948e-03
  2.80164948e-03 2.77296777e-03]]",0
2,e580170f-d447-4d58-ac33-3d40b3771c8f,"[[0.01143324 0.02511029 0.02117703 ... 0.05407287 0.00310027 0.01318983]
 [0.01240109 0.0255655  0.02171485 ... 0.04993267 0.00310027 0.01180548]
 [0.01240109 0.0255655  0.02171485 ... 0.04381157 0.00219222 0.01042171]
 ...
 [0.07798503 0.10615837 0.06716983 ... 0.01109187 0.0083189  0.00277297]
 [0.03607042 0.06867014 0.05601857 ... 0.01109187 0.0083189  0.00277297]
 [0.01414093 0.05121267 0.05321909 ... 0.01109187 0.0083189  0.00277297]]",1
3,dda1ef86-5eca-4690-9aeb-e24a87f3c2e6,"[[4.31038195e-02 4.88428185e-02 1.04170992e-01 ... 9.81307787e-18
  9.81307787e-18 9.81307787e-18]
 [7.77544316e-02 1.00613268e-01 1.11889335e-01 ... 9.81307787e-18
  9.81307787e-18 9.81307787e-18]
 [6.20441856e-02 7.81490015e-02 5.86025260e-02 ... 9.81307787e-18
  9.81307787e-18 9.81307787e-18]
 ...
 [3.92523115e-17 2.77296777e-03 2.77296777e-03 ... 6.20054443e-03
  6.20054443e-03 3.92156863e-03]
 [3.92523115e-17 2.77296777e-03 2.77296777e-03 ... 4.90196078e-03
  5.27957334e-03 3.92156863e-03]
 [3.92523115e-17 2.77296777e-03 2.77296777e-03 ... 3.53485419e-03
  4.04226042e-03 3.92156863e-03]]",2
5,01420fed-89b3-4801-9d91-af5507322fa3,"[[1.96261557e-17 2.77296777e-03 5.54593554e-03 ... 4.90196078e-03
  3.10027222e-03 9.80392157e-04]
 [1.96261557e-17 2.77296777e-03 5.54593554e-03 ... 4.99903874e-03
  3.92156863e-03 3.10027222e-03]
 [1.96261557e-17 2.77296777e-03 5.54593554e-03 ... 5.27957334e-03
  3.10027222e-03 2.19222351e-03]
 ...
 [5.54593554e-03 9.03876908e-03 3.92156863e-03 ... 2.77296777e-03
  2.77296777e-03 2.77296777e-03]
 [4.90196078e-03 7.90417426e-03 3.53485419e-03 ... 2.77296777e-03
  2.77296777e-03 2.77296777e-03]
 [3.53485419e-03 6.57667052e-03 2.77296777e-03 ... 0.00000000e+00
  0.00000000e+00 0.00000000e+00]]",1
6,1bcf8cc6-9d6e-49d6-ab17-6b6bb795eadb,"[[1.24010889e-02 2.82788335e-02 3.10027222e-02 ... 5.82405755e-02
  2.11637580e-02 2.88341984e-02]
 [3.20544759e-02 4.02080327e-02 4.22593374e-02 ... 5.76234716e-02
  3.08116410e-02 3.67236536e-02]
 [2.68441999e-02 3.64238230e-02 3.77473408e-02 ... 5.14099666e-02
  2.56997654e-02 2.95862675e-02]
 ...
 [3.10027222e-03 1.09611175e-02 2.71163072e-02 ... 1.96078431e-02
  2.77296777e-03 6.20054443e-03]
 [1.33347750e-02 1.87303659e-02 2.12091251e-02 ... 1.96078431e-02
  2.77296777e-03 6.20054443e-03]
 [1.61690417e-02 2.78679812e-02 1.80775382e-02 ... 1.94107744e-02
  9.81307787e-18 5.54593554e-03]]",3
7,3fe20c87-2f09-459c-9b59-d4e9a07b361e,"[[0.04862694 0.02729954 0.02098636 ... 0.01784775 0.06199552 0.04024613]
 [0.07761769 0.06847029 0.05752409 ... 0.02206745 0.04696458 0.03162389]
 [0.01219003 0.05909712 0.10895345 ... 0.00332935 0.02997138 0.03145912]
 ...
 [0.00627757 0.00138648 0.00627757 ... 0.11022649 0.05356105 0.02267275]
 [0.00999808 0.01042171 0.00790417 ... 0.08277501 0.03356629 0.01543485]
 [0.01055915 0.01734491 0.00790417 ... 0.03605545 0.02820128 0.02741957]]",4
8,65e038b2-c84d-4e95-be70-e58fab54f729,"[[0.00277297 0.00554594 0.00554594 ... 0.01393399 0.03188913 0.01607963]
 [0.00277297 0.00554594 0.00554594 ... 0.01228428 0.02711631 0.01550136]
 [0.00277297 0.00554594 0.00554594 ... 0.00713736 0.01985143 0.01473853]
 ...
 [0.00277297 0.00554594 0.00277297 ... 0.01663781 0.00554594 0.0083189 ]
 [0.00392157 0.00527957 0.00219222 ... 0.01663781 0.00554594 0.0083189 ]
 [0.00392157 0.00404226 0.00098039 ... 0.01663781 0.00554594 0.0083189 ]]",5
9,ea2ffd4d-9b25-4ca8-9dc2-bd27f1cc59fa,"[[0.01228428 0.02924791 0.02870055 ... 0.01353476 0.00568183 0.00791375]
 [0.02639787 0.01767427 0.02079726 ... 0.0174317  0.0033838  0.00772077]
 [0.00808452 0.00837647 0.02176824 ... 0.02108087 0.01902287 0.00609203]
 ...
 [0.08076029 0.07783361 0.06370317 ... 0.00353485 0.00294118 0.00277297]
 [0.0523652  0.03691993 0.02047147 ... 0.00765711 0.01109187 0.01318983]
 [0.01196861 0.00557631 0.00385863 ... 0.00527957 0.00657667 0.00790417]]",0
10,d53a8448-2278-4a6d-892a-36f14ed3ae0b,"[[0.00392157 0.00657667 0.00627757 ... 0.05430734 0.00667642 0.0229588 ]
 [0.00277297 0.00693242 0.00693242 ... 0.03884467 0.01475198 0.02482791]
 [0.01060456 0.00999808 0.00882353 ... 0.03400771 0.00149998 0.02620579]
 ...
 [0.01315334 0.01675295 0.01531422 ... 0.07774731 0.08130131 0.07927712]
 [0.00999808 0.01176471 0.00765711 ... 0.07998939 0.06322564 0.04998236]
 [0.00620054 0.00876889 0.00294118 ... 0.04136279 0.023386   0.01631698]]",2
